Time(s),   F(+)/E (deg),   Vr/Vl(+) (deg),   I/E(+) (deg),   M/L(+) (mm),   A(+)/P (mm),   S(+)/I (mm)
0.000000,   -6.125385,   0.804505,   2.170308,   0.774486,   2.747468,   -22.380784,   
0.020000,   -3.810371,   -1.231262,   3.822007,   1.644940,   5.395030,   -20.479403,   
0.040000,   -1.373435,   -1.273807,   2.355577,   1.768586,   4.887191,   -20.180585,   
0.060000,   1.063529,   -1.398806,   2.109955,   1.961537,   4.335325,   -19.950533,   
0.080000,   3.500501,   -1.480816,   1.902684,   2.102688,   3.816480,   -19.738086,   
0.100000,   5.937477,   -1.514149,   1.507219,   2.208434,   3.350923,   -19.522784,   
0.120000,   8.374457,   -1.498265,   0.956695,   2.280221,   2.938521,   -19.299605,   
0.140000,   10.811439,   -1.436436,   0.253597,   2.316414,   2.556029,   -19.064885,   
0.160000,   13.248423,   -1.334638,   -0.614500,   2.324320,   2.176456,   -18.816674,   
0.180000,   15.685409,   -1.196647,   -1.647112,   2.302813,   1.798283,   -18.552857,   
0.200000,   18.122396,   -1.023116,   -2.831507,   2.252259,   1.430038,   -18.273171,   
0.220000,   20.559385,   -0.816292,   -4.139418,   2.177897,   1.074253,   -17.977614,   
0.240000,   22.996374,   -0.585164,   -5.477118,   2.091494,   0.738019,   -17.671044,   
0.260000,   25.433365,   -0.338570,   -6.751517,   2.004397,   0.427829,   -17.360986,   
0.280000,   27.870354,   -0.087232,   -7.846932,   1.928060,   0.141633,   -17.052517,   
0.300000,   30.307343,   0.150683,   -8.627252,   1.879436,   -0.130498,   -16.756726,   
0.320000,   32.744331,   0.372060,   -9.118899,   1.864564,   -0.397653,   -16.474667,   
0.340000,   35.181316,   0.583131,   -9.363847,   1.871980,   -0.660291,   -16.202232,   
0.360000,   37.618305,   0.796442,   -9.479787,   1.883903,   -0.908802,   -15.933113,   
0.380000,   40.055292,   1.019182,   -9.528937,   1.894420,   -1.136189,   -15.661773,   
0.400000,   42.492282,   1.243737,   -9.530681,   1.904879,   -1.343597,   -15.387206,   
0.420000,   44.929267,   1.448262,   -9.462225,   1.933765,   -1.533324,   -15.116700,   
0.440000,   47.366256,   1.625201,   -9.322119,   1.990929,   -1.702511,   -14.849809,   
0.460000,   49.803241,   1.783310,   -9.136052,   2.066002,   -1.848676,   -14.583343,   
0.480000,   52.240227,   1.932019,   -8.921143,   2.146110,   -1.970379,   -14.314272,   
0.500000,   54.677212,   2.073616,   -8.680334,   2.224105,   -2.066734,   -14.041784,   
0.520000,   57.114195,   2.208088,   -8.416206,   2.300169,   -2.136548,   -13.765969,   
0.540000,   59.551179,   2.324038,   -8.120215,   2.385611,   -2.180015,   -13.489217,   
0.560000,   61.988163,   2.426424,   -7.802265,   2.479473,   -2.195947,   -13.209793,   
0.580000,   64.425145,   2.526856,   -7.474349,   2.572165,   -2.182462,   -12.926749,   
0.600000,   66.862131,   2.632042,   -7.146303,   2.657313,   -2.138185,   -12.638682,   
0.620000,   69.299113,   2.741670,   -6.823489,   2.735358,   -2.063105,   -12.347034,   
0.640000,   71.736096,   2.846802,   -6.489555,   2.816145,   -1.954392,   -12.049921,   
0.660000,   74.173082,   2.948028,   -6.180693,   2.891401,   -1.812486,   -11.746536,   
0.680000,   76.610062,   3.051660,   -5.908644,   2.957710,   -1.636091,   -11.438015,   
0.700000,   79.047046,   3.152633,   -5.676950,   3.015823,   -1.423322,   -11.122805,   
0.720000,   81.484028,   3.260126,   -5.518888,   3.056097,   -1.173766,   -10.802713,   
0.740000,   83.921013,   3.369459,   -5.395623,   3.089583,   -0.885737,   -10.477095,   
0.760000,   86.357998,   3.475072,   -5.290792,   3.119635,   -0.559290,   -10.147874,   
0.780000,   88.794978,   3.576428,   -5.212639,   3.146076,   -0.194492,   -9.815031,   
0.800000,   87.161148,   3.673789,   -5.160928,   3.166908,   0.208481,   -9.481484,   
0.820000,   89.567668,   3.762191,   -5.118448,   3.182666,   0.643833,   -9.153654,   
0.840000,   91.740646,   3.829915,   -5.082164,   3.195374,   1.068757,   -8.860382,   
0.860000,   93.642841,   3.873711,   -5.045959,   3.209958,   1.465262,   -8.606444,   
0.880000,   95.274267,   3.899608,   -5.012632,   3.224289,   1.823320,   -8.391688,   
0.900000,   96.634915,   3.909635,   -4.979387,   3.237459,   2.134392,   -8.214417,   
0.920000,   97.724789,   3.907921,   -4.947378,   3.250137,   2.391548,   -8.074294,   
0.940000,   98.543884,   3.896735,   -4.915076,   3.264787,   2.589652,   -7.972419,   
0.960000,   99.092206,   3.878355,   -4.889437,   3.280344,   2.724386,   -7.907207,   
0.980000,   99.369751,   3.857620,   -4.871235,   3.291284,   2.793274,   -7.878969,   
1.000000,   99.406983,   3.838585,   -4.858634,   3.298906,   2.802705,   -7.883105,   
1.020000,   99.406981,   3.827970,   -4.847148,   3.302276,   2.802942,   -7.889569,   
1.040000,   99.406982,   3.821277,   -4.836165,   3.304516,   2.803117,   -7.893155,   
1.060000,   99.406976,   3.816895,   -4.827344,   3.306163,   2.803239,   -7.895221,   
1.080000,   99.406978,   3.814075,   -4.821079,   3.307247,   2.803324,   -7.896507,   
1.100000,   99.406980,   3.812206,   -4.816696,   3.308029,   2.803381,   -7.897309,   
1.120000,   99.406980,   3.810984,   -4.813764,   3.308549,   2.803419,   -7.897814,   
1.140000,   99.406982,   3.810128,   -4.811648,   3.308908,   2.803446,   -7.898178,   
1.160000,   99.406979,   3.809583,   -4.810285,   3.309126,   2.803462,   -7.898401,   
1.180000,   99.406978,   3.809221,   -4.809399,   3.309273,   2.803474,   -7.898555,   
1.200000,   99.406982,   3.809024,   -4.808912,   3.309332,   2.803481,   -7.898649,   
1.220000,   99.406981,   3.808775,   -4.808393,   3.309469,   2.803488,   -7.898767,   
1.240000,   99.406980,   3.808606,   -4.808045,   3.309519,   2.803493,   -7.898856,   
1.260000,   99.406981,   3.808495,   -4.807812,   3.309553,   2.803497,   -7.898916,   
1.280000,   99.406979,   3.808420,   -4.807660,   3.309574,   2.803499,   -7.898953,   
1.300000,   99.406980,   3.808370,   -4.807551,   3.309591,   2.803500,   -7.898979,   
1.320000,   99.406979,   3.808337,   -4.807480,   3.309601,   2.803501,   -7.898997,   
1.340000,   99.406977,   3.808304,   -4.807418,   3.309618,   2.803501,   -7.899012,   
1.360000,   99.406980,   3.808289,   -4.807385,   3.309615,   2.803503,   -7.899023,   
1.380000,   99.406980,   3.808269,   -4.807342,   3.309632,   2.803503,   -7.899031,   
1.400000,   99.406983,   3.808254,   -4.807314,   3.309637,   2.803504,   -7.899039,   
1.420000,   99.406981,   3.808241,   -4.807292,   3.309641,   2.803505,   -7.899046,   
1.440000,   99.406978,   3.808234,   -4.807274,   3.309643,   2.803504,   -7.899050,   
1.460000,   99.406977,   3.808236,   -4.807276,   3.309633,   2.803504,   -7.899049,   
1.480000,   99.406980,   3.808223,   -4.807254,   3.309648,   2.803504,   -7.899054,   
1.500000,   99.406980,   3.808223,   -4.807256,   3.309640,   2.803505,   -7.899057,   
